code,name,brand,type_floss,color_family,img_link,hexcode1,r1,g1,b1,hexcode2,r2,g2,b2,hexcode3,r3,g3,b3
01,White Tin,DMC,mouliné,light,https://disenosparabordar.com/wp-content/uploads/2021/11/11701.jpg,#CDCACB,205.0,202.0,203.0,#CDCACB,205.0,202.0,203.0,#CDCACB,205.0,202.0,203.0
02,Tin,DMC,mouliné,light,https://disenosparabordar.com/wp-content/uploads/2021/11/11702.jpg,#B8B7BA,184.0,183.0,186.0,#B8B7BA,184.0,183.0,186.0,#B8B7BA,184.0,183.0,186.0
03,Medium Tin,DMC,mouliné,grey,https://disenosparabordar.com/wp-content/uploads/2021/11/11703.jpg,#918F98,145.0,143.0,152.0,#918F98,145.0,143.0,152.0,#918F98,145.0,143.0,152.0
04,Dark Tin,DMC,mouliné,grey,https://disenosparabordar.com/wp-content/uploads/2021/11/11704-1.jpg,#6C666E,108.0,102.0,110.0,#6C666E,108.0,102.0,110.0,#6C666E,108.0,102.0,110.0
05,Light Driftwood,DMC,mouliné,brown,https://disenosparabordar.com/wp-content/uploads/2021/11/11705.jpg,#C2B3AA,194.0,179.0,170.0,#C2B3AA,194.0,179.0,170.0,#C2B3AA,194.0,179.0,170.0
06,Medium Light Driftwood,DMC,mouliné,brown,https://disenosparabordar.com/wp-content/uploads/2021/11/11706.jpg,#B8A89F,184.0,168.0,159.0,#B8A89F,184.0,168.0,159.0,#B8A89F,184.0,168.0,159.0
07,Driftwood,DMC,mouliné,brown,https://disenosparabordar.com/wp-content/uploads/2021/11/11707.jpg,#89756B,137.0,117.0,107.0,#89756B,137.0,117.0,107.0,#89756B,137.0,117.0,107.0
08,Dark Driftwood,DMC,mouliné,brown,https://disenosparabordar.com/wp-content/uploads/2021/11/11708.jpg,#503D37,80.0,61.0,55.0,#503D37,80.0,61.0,55.0,#503D37,80.0,61.0,55.0
09,Very Dark Cocoa,DMC,mouliné,brown,https://disenosparabordar.com/wp-content/uploads/2021/11/11709.jpg,#372428,55.0,36.0,40.0,#372428,55.0,36.0,40.0,#372428,55.0,36.0,40.0
10,Very Light Tender Green,DMC,mouliné,light,https://disenosparabordar.com/wp-content/uploads/2021/11/11710.jpg,#E2DDBA,226.0,221.0,186.0,#CECEB8,255.0,233.0,233.0,#CECEB8,206.0,206.0,184.0
11,Light Tender Green,DMC,mouliné,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/11711.jpg,#E3DB7A,227.0,219.0,122.0,#D5D29D,255.0,211.0,212.0,#D5D29D,213.0,210.0,157.0
12,Tender Green,DMC,mouliné,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/11712.jpg,#D1CB48,209.0,203.0,72.0,#CCC563,253.0,134.0,141.0,#CCC563,204.0,197.0,99.0
13,Medium Light Nile Green,DMC,mouliné,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/11713.jpg,#A6CF9D,166.0,207.0,157.0,#A8CEB7,255.0,234.0,235.0,#A8CEB7,168.0,206.0,183.0
14,Pale Apple Green,DMC,mouliné,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/11714.jpg,#D2DEA4,210.0,222.0,164.0,#C5C8A3,254.0,212.0,219.0,#C5C8A3,197.0,200.0,163.0
15,Apple Green,DMC,mouliné,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/11715.jpg,#CDD38D,205.0,211.0,141.0,#BDC580,255.0,128.0,109.0,#BDC580,189.0,197.0,128.0
16,Light Chartreuse,DMC,mouliné,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/11716.jpg,#B9C655,185.0,198.0,85.0,#B0B56A,255.0,85.0,91.0,#B0B56A,176.0,181.0,106.0
17,Light Yellow Plum,DMC,mouliné,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/11717.jpg,#E0C76E,224.0,199.0,110.0,#D4C66B,255.0,157.0,150.0,#D4C66B,212.0,198.0,107.0
