code,color_family,img_link
27,light,https://disenosparabordar.com/wp-content/uploads/2021/11/11727.jpg
BLANC,light,https://disenosparabordar.com/wp-content/uploads/2021/11/117BLANC.jpg
01,light,https://disenosparabordar.com/wp-content/uploads/2021/11/11701.jpg
10,light,https://disenosparabordar.com/wp-content/uploads/2021/11/11710.jpg
02,light,https://disenosparabordar.com/wp-content/uploads/2021/11/11702.jpg
453,light,https://disenosparabordar.com/wp-content/uploads/2021/11/117453.jpg
543,light,https://disenosparabordar.com/wp-content/uploads/2021/11/117543.jpg
613,light,https://disenosparabordar.com/wp-content/uploads/2021/11/117613.jpg
644-e1638244818411,light,https://disenosparabordar.com/wp-content/uploads/2021/11/117644-e1638244818411.jpg
648,light,https://disenosparabordar.com/wp-content/uploads/2021/11/117648.jpg
712,light,https://disenosparabordar.com/wp-content/uploads/2021/11/117712.jpg
738,light,https://disenosparabordar.com/wp-content/uploads/2021/11/117738.jpg
739,light,https://disenosparabordar.com/wp-content/uploads/2021/11/117739.jpg
746,light,https://disenosparabordar.com/wp-content/uploads/2021/11/117746.jpg
762,light,https://disenosparabordar.com/wp-content/uploads/2021/11/117762.jpg
822,light,https://disenosparabordar.com/wp-content/uploads/2021/11/117822.jpg
842,light,https://disenosparabordar.com/wp-content/uploads/2021/11/117842.jpg
945,light,https://disenosparabordar.com/wp-content/uploads/2021/11/117945.jpg
950,light,https://disenosparabordar.com/wp-content/uploads/2021/11/117950.jpg
3024,light,https://disenosparabordar.com/wp-content/uploads/2021/11/1173024.jpg
3033,light,https://disenosparabordar.com/wp-content/uploads/2021/11/1173033.jpg
3047,light,https://disenosparabordar.com/wp-content/uploads/2021/11/1173047.jpg
3072,light,https://disenosparabordar.com/wp-content/uploads/2021/11/1173072.jpg
3770,light,https://disenosparabordar.com/wp-content/uploads/2021/11/1173770.jpg
3774,light,https://disenosparabordar.com/wp-content/uploads/2021/11/1173774.jpg
3782,light,https://disenosparabordar.com/wp-content/uploads/2021/11/1173782.jpg
3865,light,https://disenosparabordar.com/wp-content/uploads/2021/11/1173865.jpg
3866,light,https://disenosparabordar.com/wp-content/uploads/2021/11/1173866.jpg
B5200,light,https://disenosparabordar.com/wp-content/uploads/2021/11/117B5200.jpg
ECRU,light,https://disenosparabordar.com/wp-content/uploads/2021/11/117ECRU.jpg
28,grey,https://disenosparabordar.com/wp-content/uploads/2021/11/11728.jpg
168,grey,https://disenosparabordar.com/wp-content/uploads/2021/11/117168.jpg
169,grey,https://disenosparabordar.com/wp-content/uploads/2021/11/117169.jpg
317,grey,https://disenosparabordar.com/wp-content/uploads/2021/11/117317.jpg
318,grey,https://disenosparabordar.com/wp-content/uploads/2021/11/117318.jpg
413,grey,https://disenosparabordar.com/wp-content/uploads/2021/11/117413.jpg
414,grey,https://disenosparabordar.com/wp-content/uploads/2021/11/117414.jpg
415,grey,https://disenosparabordar.com/wp-content/uploads/2021/11/117415.jpg
03,grey,https://disenosparabordar.com/wp-content/uploads/2021/11/11703.jpg
535,grey,https://disenosparabordar.com/wp-content/uploads/2021/11/117535.jpg
04-1,grey,https://disenosparabordar.com/wp-content/uploads/2021/11/11704-1.jpg
930,grey,https://disenosparabordar.com/wp-content/uploads/2021/11/117930.jpg
3799,grey,https://disenosparabordar.com/wp-content/uploads/2021/11/1173799.jpg
150,red,https://disenosparabordar.com/wp-content/uploads/2021/11/117150.jpg
304,red,https://disenosparabordar.com/wp-content/uploads/2021/11/117304.jpg
309,red,https://disenosparabordar.com/wp-content/uploads/2021/11/117309.jpg
321,red,https://disenosparabordar.com/wp-content/uploads/2021/11/117321.jpg
326,red,https://disenosparabordar.com/wp-content/uploads/2021/11/117326.jpg
347,red,https://disenosparabordar.com/wp-content/uploads/2021/11/117347.jpg
349,red,https://disenosparabordar.com/wp-content/uploads/2021/11/117349.jpg
350,red,https://disenosparabordar.com/wp-content/uploads/2021/11/117350.jpg
356,red,https://disenosparabordar.com/wp-content/uploads/2021/11/117356.jpg
498,red,https://disenosparabordar.com/wp-content/uploads/2021/11/117498.jpg
606,red,https://disenosparabordar.com/wp-content/uploads/2021/11/117606.jpg
666,red,https://disenosparabordar.com/wp-content/uploads/2021/11/117666.jpg
777,red,https://disenosparabordar.com/wp-content/uploads/2021/11/117777.jpg
814,red,https://disenosparabordar.com/wp-content/uploads/2021/11/117814.jpg
815,red,https://disenosparabordar.com/wp-content/uploads/2021/11/117815.jpg
816,red,https://disenosparabordar.com/wp-content/uploads/2021/11/117816.jpg
817,red,https://disenosparabordar.com/wp-content/uploads/2021/11/117817.jpg
902,red,https://disenosparabordar.com/wp-content/uploads/2021/11/117902.jpg
3685,red,https://disenosparabordar.com/wp-content/uploads/2021/11/1173685.jpg
3705,red,https://disenosparabordar.com/wp-content/uploads/2021/11/1173705.jpg
3721,red,https://disenosparabordar.com/wp-content/uploads/2021/11/1173721.jpg
3777,red,https://disenosparabordar.com/wp-content/uploads/2021/11/1173777.jpg
3801,red,https://disenosparabordar.com/wp-content/uploads/2021/11/1173801.jpg
3832,red,https://disenosparabordar.com/wp-content/uploads/2021/11/1173832.jpg
20,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/11720.jpg
21,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/11721.jpg
22,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/11722.jpg
351,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/117351.jpg
352,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/117352.jpg
353,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/117353.jpg
402,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/117402.jpg
608,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/117608.jpg
720,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/117720.jpg
721,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/117721.jpg
722,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/117722.jpg
740,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/117740.jpg
741,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/117741.jpg
754,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/117754.jpg
758,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/117758.jpg
900,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/117900.jpg
922,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/117922.jpg
946,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/117946.jpg
947,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/117947.jpg
970,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/117970.jpg
3340,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/1173340.jpg
3778,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/1173778.jpg
3825,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/1173825.jpg
3853,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/1173853.jpg
3854,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/1173854.jpg
3856,orange,https://disenosparabordar.com/wp-content/uploads/2021/11/1173856.jpg
17,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/11717.jpg
18,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/11718.jpg
19,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/11719.jpg
307,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/117307.jpg
11,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/11711.jpg
444,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/117444.jpg
445,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/117445.jpg
12,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/11712.jpg
677,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/117677.jpg
725,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/117725.jpg
726,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/117726.jpg
727,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/117727.jpg
728,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/117728.jpg
742,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/117742.jpg
743,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/117743.jpg
744,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/117744.jpg
745,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/117745.jpg
783,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/117783.jpg
972,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/117972.jpg
973,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/117973.jpg
3078,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/1173078.jpg
3820,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/1173820.jpg
3821,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/1173821.jpg
3822,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/1173822.jpg
3823,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/1173823.jpg
3852,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/1173852.jpg
3855,yellow,https://disenosparabordar.com/wp-content/uploads/2021/11/1173855.jpg
15,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/11715.jpg
16,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/11716.jpg
165,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/117165.jpg
166,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/117166.jpg
472,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/117472.jpg
522,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/117522.jpg
523,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/117523.jpg
524,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/117524.jpg
13,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/11713.jpg
647,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/117647.jpg
14,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/11714.jpg
730,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/117730.jpg
732,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/117732.jpg
733,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/117733.jpg
734,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/117734.jpg
3011,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/1173011.jpg
3012,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/1173012.jpg
3013,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/1173013.jpg
3022,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/1173022.jpg
3023,muted green,https://disenosparabordar.com/wp-content/uploads/2021/11/1173023.jpg
