code,hexcode,r,g,b,name_x,r2,g2,b2,hexcode2,merge_1_2,name_y,hexcode3,_merge
3713,#ecc4c5,236.0,196.0,197.0,Salmon-VY LT,253.0,229.0,217.0,#FDE5D9,both,Salmon very light,#FFC7C7,both
761,#dca6a7,220.0,166.0,167.0,Salmon-LT,255.0,201.0,188.0,#FFC9BC,both,Salmon light,#F5A3A8,both
760,#c67d80,198.0,125.0,128.0,Salmon,249.0,160.0,146.0,#F9A092,both,Salmon,#E5787F,both
3712,#b1585c,177.0,88.0,92.0,Salmon-MD,230.0,101.0,107.0,#E6656B,both,Salmon medium,#CF575C,both
3328,#993a40,153.0,58.0,64.0,Salmon-DK,188.0,64.0,85.0,#BC4055,both,Salmon dark,#C1424B,both
347,#840821,132.0,8.0,33.0,Salmon-VY DK,194.0,36.0,67.0,#C22443,both,Salmon very dark,#A62030,both
353,#e9b7a8,233.0,183.0,168.0,Peach Flesh,255.0,196.0,184.0,#FFC4B8,both,Peach,#FEA693,both
352,#cd766a,205.0,118.0,106.0,Coral-LT,255.0,157.0,144.0,#FF9D90,both,Coral light,#F27365,both
351,#ac3632,172.0,54.0,50.0,Coral,255.0,128.0,135.0,#FF8087,both,Coral,#E04D46,both
350,#9d1a1e,157.0,26.0,30.0,Coral-MD,237.0,69.0,90.0,#ED455A,both,Coral medium,#D43434,both
349,#890012,137.0,0.0,18.0,Coral-DK,220.0,61.0,91.0,#DC3D5B,both,Coral dark,#BD1C29,both
817,#85000d,133.0,0.0,13.0,Coral Red-VY DK,219.0,24.0,85.0,#DB1855,both,Coral Red very dark,#A60D1B,both
304,#6d0023,109.0,0.0,35.0,Christmas Red-MD,188.0,0.0,97.0,#BC0061,both,Christmas Red medium,#9A0029,both
3833,#bd5b70,189.0,91.0,112.0,Raspberry light,189.0,91.0,112.0,#bd5b70,left_only,Raspberry light,#CF556A,both
3832,#a6344f,166.0,52.0,79.0,Raspberry medium,166.0,52.0,79.0,#a6344f,left_only,Raspberry medium,#C63850,both
3831,#80002a,128.0,0.0,42.0,Raspberry dark,128.0,0.0,42.0,#80002a,left_only,Raspberry dark,#A8203A,both
777,#420016,66.0,0.0,22.0,Raspberry very dark,66.0,0.0,22.0,#420016,left_only,Raspberry very dark,#780D2C,both
3801,#ad0025,173.0,0.0,37.0,Christmas Red light,173.0,0.0,37.0,#ad0025,left_only,Christmas Red light,#E02338,both
666,#880000,136.0,0.0,0.0,Christmas Red-LT,213.0,39.0,86.0,#D52756,both,Christmas Red bright,#C90023,both
321,#6f0012,111.0,0.0,18.0,Christmas Red,231.0,18.0,97.0,#E71261,both,Christmas Red,#AC0025,both
498,#520014,82.0,0.0,20.0,Christmas Red-LT,187.0,0.0,97.0,#BB0061,both,Christmas Red dark,#880025,both
816,#550012,85.0,0.0,18.0,Garnet,179.0,0.0,91.0,#B3005B,both,Garnet,#89132C,both
815,#320009,50.0,0.0,9.0,Garnet-MD,166.0,0.0,91.0,#A6005B,both,Garnet medium,#700D23,both
814,#2a000c,42.0,0.0,12.0,Garnet-DK,162.0,0.0,88.0,#A20058,both,Garnet dark,#5B1325,both
894,#e88aa2,232.0,138.0,162.0,Carnation-VY LT,255.0,194.0,191.0,#FFC2BF,both,Carnation very light,#FF7C9A,both
893,#cc4a6c,204.0,74.0,108.0,Carnation-LT,243.0,149.0,157.0,#F3959D,both,Carnation light,#FB4D6D,both
892,#c8344f,200.0,52.0,79.0,Carnation-MD,249.0,90.0,97.0,#F95A61,both,Carnation medium,#F43853,both
891,#be1a45,190.0,26.0,69.0,Carnation-DK,241.0,49.0,84.0,#F13154,both,Carnation dark,#EF2C46,both
818,#eec9cb,238.0,201.0,203.0,Baby Pink,255.0,234.0,235.0,#FFEAEB,both,Baby Pink,#FFD0D2,both
957,#ea89a8,234.0,137.0,168.0,Gernanium-PALE,255.0,204.0,208.0,#FFCCD0,both,Geranium pale,#FF7CA2,both
956,#d24977,210.0,73.0,119.0,Geranium,255.0,109.0,115.0,#FF6D73,both,Geranium,#F94472,both
3708,#e98aa2,233.0,138.0,162.0,Melon-LT,254.0,212.0,219.0,#FED4DB,both,Melon light,#FF889E,both
3706,#df697f,223.0,105.0,127.0,Melon-MD,255.0,128.0,109.0,#FF806D,both,Melon medium,#FF6175,both
3705,#ba263d,186.0,38.0,61.0,Melon-DK,255.0,85.0,91.0,#FF555B,both,Melon dark,#EE3A4D,both
963,#efc0c9,239.0,192.0,201.0,Dusty Rose-ULT VY L,255.0,233.0,233.0,#FFE9E9,both,Dusty Rose ultra,#FFBAC4,both
3716,#de99af,222.0,153.0,175.0,Dusty Rose-VY LT,255.0,211.0,212.0,#FFD3D4,both,Dusty Rose very light,#FE97AF,both
962,#c26f85,194.0,111.0,133.0,Dusty Rose-MD,253.0,134.0,141.0,#FD868D,both,Dusty Rose medium,#E46486,both
961,#b74e6e,183.0,78.0,110.0,Dusty Rose-DK,243.0,108.0,123.0,#F36C7B,both,Dusty Rose dark,#D94B6F,both
